ExpenseId,ExpenseCategoryId,ExpenseSubCategoryId,Label,Amount,Date,AccountId
1,1,1,weekly-shopping,12500.00,2025-02-01 00:00:00.0000000,1
2,1,1,Grocery shopping at Lidl,15000.00,2025-02-01 00:00:00.0000000,1
3,1,2,Groceries from Spar,10000.00,2025-02-01 00:00:00.0000000,1
4,1,3,Weekly shopping at Tesco,12000.00,2025-02-01 00:00:00.0000000,1
5,2,4,Monthly gas bill,5000.00,2025-02-02 00:00:00.0000000,1
6,2,5,Water bill,3000.00,2025-02-02 00:00:00.0000000,1
7,2,6,Electricity bill,8000.00,2025-02-02 00:00:00.0000000,1
8,2,7,New TV purchase,45000.00,2025-02-02 00:00:00.0000000,1
9,3,8,Netflix subscription,1500.00,2025-02-02 00:00:00.0000000,1
10,3,9,Bike repair service,6000.00,2025-02-03 00:00:00.0000000,1
11,4,10,House repair expenses,20000.00,2025-02-03 00:00:00.0000000,1
12,4,11,New furniture purchase,50000.00,2025-02-03 00:00:00.0000000,1
13,1,1,Lidl grocery restock,8000.00,2025-02-03 00:00:00.0000000,1
14,1,3,Tesco bulk buy,18000.00,2025-02-03 00:00:00.0000000,1
15,2,4,Additional gas charge,2500.00,2025-02-04 00:00:00.0000000,1
16,2,5,Extra water consumption bill,4000.00,2025-02-04 00:00:00.0000000,1
17,3,9,Bike accessories,7000.00,2025-02-04 00:00:00.0000000,1
18,4,10,Emergency house repair,22000.00,2025-02-04 00:00:00.0000000,1
19,4,11,Custom furniture order,60000.00,2025-02-04 00:00:00.0000000,1
20,1,2,Late-night shopping at Spar,9500.00,2025-02-04 00:00:00.0000000,1
21,2,6,High electricity usage bill,15000.00,2025-02-04 00:00:00.0000000,1
22,1,1,Lidl grocery shopping,12000.00,2025-01-20 00:00:00.0000000,1
23,1,2,Spar weekly groceries,9500.00,2025-01-21 00:00:00.0000000,1
24,1,3,Tesco bulk shopping,15000.00,2025-01-22 00:00:00.0000000,1
25,2,4,Monthly gas bill,5000.00,2025-01-23 00:00:00.0000000,1
26,2,5,Water bill,3000.00,2025-01-24 00:00:00.0000000,1
27,2,6,Electricity bill,8000.00,2025-01-25 00:00:00.0000000,1
28,2,7,TV subscription renewal,4500.00,2025-01-26 00:00:00.0000000,1
29,3,8,Netflix subscription,1500.00,2025-01-27 00:00:00.0000000,1
30,3,9,Bike maintenance,7000.00,2025-01-28 00:00:00.0000000,1
31,4,10,House repair work,20000.00,2025-01-29 00:00:00.0000000,1
32,4,11,New furniture purchase,50000.00,2025-01-30 00:00:00.0000000,1
33,1,1,Lidl weekend restock,8500.00,2025-01-31 00:00:00.0000000,1
34,1,3,Tesco fresh food purchase,12000.00,2025-02-01 00:00:00.0000000,1
35,2,4,Extra gas charge,2500.00,2025-02-01 00:00:00.0000000,1
36,2,5,Water overuse penalty,3500.00,2025-01-31 00:00:00.0000000,1
37,3,9,Bike gear upgrade,6000.00,2025-01-30 00:00:00.0000000,1
38,4,10,Urgent house maintenance,22000.00,2025-01-29 00:00:00.0000000,1
39,4,11,Custom kitchen furniture,60000.00,2025-01-28 00:00:00.0000000,1
40,1,2,Late-night Spar shopping,9000.00,2025-01-27 00:00:00.0000000,1
41,2,6,Increased electricity bill,15500.00,2025-01-26 00:00:00.0000000,1
42,1,1,Lidl Shopping,25000.00,2025-01-25 00:00:00.0000000,2
43,1,2,Spar Groceries,18000.00,2025-01-26 00:00:00.0000000,2
44,1,3,Tesco Shopping,22000.00,2025-01-27 00:00:00.0000000,2
45,2,4,Gas Bill,7000.00,2025-01-28 00:00:00.0000000,2
46,2,5,Water Bill,4000.00,2025-01-29 00:00:00.0000000,2
47,2,6,Electricity Bill,11000.00,2025-01-30 00:00:00.0000000,2
48,3,8,Netflix Subscription,1500.00,2025-01-31 00:00:00.0000000,2
49,3,9,Bike Accessories,9000.00,2025-02-01 00:00:00.0000000,2
50,4,10,Home Repair,30000.00,2025-02-02 00:00:00.0000000,2
51,4,11,New Furniture,60000.00,2025-02-04 00:00:00.0000000,2
52,1,1,Lidl Grocery Shopping,20000.00,2025-01-25 00:00:00.0000000,3
53,1,2,Spar Bulk Purchase,25000.00,2025-01-26 00:00:00.0000000,3
54,1,3,Tesco Weekend Shopping,23000.00,2025-01-27 00:00:00.0000000,3
55,2,4,Gas Payment,8000.00,2025-01-28 00:00:00.0000000,3
56,2,5,Monthly Water Bill,5000.00,2025-01-29 00:00:00.0000000,3
57,2,6,High Electricity Usage,12000.00,2025-01-30 00:00:00.0000000,3
58,3,8,Streaming Subscription,2000.00,2025-01-31 00:00:00.0000000,3
59,3,9,Bicycle Repairs,11000.00,2025-02-01 00:00:00.0000000,3
60,4,10,Emergency Home Repairs,25000.00,2025-02-02 00:00:00.0000000,3
61,4,11,Luxury Furniture Purchase,70000.00,2025-02-04 00:00:00.0000000,3
